,#AUTHID,STATUS,sEXT,sNEU,sAGR,sCON,sOPN,cEXT,cNEU,cAGR,cCON,cOPN,DATE,NETWORKSIZE,BETWEENNESS,NBETWEENNESS,DENSITY,BROKERAGE,NBROKERAGE,TRANSITIVITY
0,b7b7764cfa1c523e4e93ab2a79a946c4,likes the sound of thunder,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,06/19/09 03:21 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
1,b7b7764cfa1c523e4e93ab2a79a946c4,is so sleepy its not even funny thats she cant get to sleep,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,07/02/09 08:41 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
2,b7b7764cfa1c523e4e93ab2a79a946c4,is sore and wants the knot of muscles at the base of her neck to stop hurting on the other hand yay im in illinois,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,06/15/09 01:15 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
3,b7b7764cfa1c523e4e93ab2a79a946c4,likes how the day sounds in this new song,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,06/22/09 04:48 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
4,b7b7764cfa1c523e4e93ab2a79a946c4,is home,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,07/20/09 02:31 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
5,b7b7764cfa1c523e4e93ab2a79a946c4,wwwthejokerblogscom,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,07/16/09 03:21 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
6,b7b7764cfa1c523e4e93ab2a79a946c4,saw nun zombie and liked it also propname tentacleman psychic powers great party,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,06/27/09 05:41 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
7,b7b7764cfa1c523e4e93ab2a79a946c4,is in kentucky miles into her mile journey home,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,07/18/09 06:34 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
8,b7b7764cfa1c523e4e93ab2a79a946c4,was about to finish digital painting before her tablet went haywire is now contemplating the many ways she wishes to exact her revenge on faulty technology,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,07/09/09 02:58 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
9,b7b7764cfa1c523e4e93ab2a79a946c4,is celebrating her new haircut by listening to swinger music and generally looking like doofus,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,07/07/09 11:41 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
10,b7b7764cfa1c523e4e93ab2a79a946c4,has crush on the green lantern,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,07/15/09 07:48 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
11,b7b7764cfa1c523e4e93ab2a79a946c4,has magic on the brain,2.65,3.0,3.15,3.25,4.4,0,1,0,0,1,08/05/09 04:27 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
